1,10060,Incision y drenaje,,,,1,D,99,A,A,X,,4,CPT
2,10120,Extraccion de Cuerpo Extrano,,,,1,D,99,A,A,X,,4,CPT
3,10781,Canalizacion de Via Periferica,,,,1,D,99,A,A,X,,4,CPT
4,11100,"Biopsia de piel, tejido subcutaneo y/o mucosa, lesion unica",,,,1,D,99,A,A,X,,4,CPT
5,11400,Exeresis de Lesion Benigna,,,,1,D,99,A,A,X,,4,CPT
6,11443,Extraccion de Quistes Menores,,,,1,D,99,A,A,X,,4,CPT
7,11750,Extraccion de Una,,,,1,D,99,A,A,X,,4,CPT
8,12002,Correccion simple de heridas superficiales,,,,1,D,99,A,A,X,,4,CPT
9,19100,Biopsia de mama. Aguja Trocar,,,F,10,A,52,A,A,X,,4,CPT
10,19101,Toma de Biopsia de Mama,,,F,10,A,52,A,A,X,,4,CPT
11,19160,Cuadrantectomia de Mama (Mastectomia Parcial),,,F,10,A,52,A,A,X,,4,CPT
12,19180,Mastectomia Simple Completa,,,F,10,A,52,A,A,X,,4,CPT
13,19200,Mastectomia Radical,,,F,10,A,52,A,A,X,,4,CPT
14,31500,Intubacion Endotraqueal,,,,1,D,28,D,A,X,,4,CPT
15,53670,Catetizacion Uretral Simple (Cambio de Sonda/Sondaje Vesical),,,M,1,D,99,A,A,X,,4,CPT
16,57452,Colposcopia,,,F,10,A,99,A,A,X,,4,CPT
17,57460,Colposcopia con Electrocirugia (Leep),,,F,10,A,99,A,A,X,,4,CPT
18,57500,Toma de Biopsia de Cervix,,,F,10,A,99,A,A,X,,4,CPT
19,57511,Crioterapia,,,,1,M,99,A,A,X,,4,CPT
20,57520,Conizacion del cervix,,,F,10,A,99,A,A,X,,4,CPT
21,57522,Electrocirugia (Leep),,,F,10,A,99,A,A,X,,4,CPT
22,58200,Histerectomia Ampliada a Vagina,,,F,10,A,0,,A,X,,4,CPT
23,58210,Histerectomia Radical,,,F,20,A,99,A,I,X,,4,CPT
24,59400,Atencion del Parto de Alto Riesgo,,,F,10,A,49,A,A,X,,4,CPT
25,59430,Control de puerperio,,,F,10,A,49,A,A,X,,4,CPT
27,69210,Lavado de Oido,,,,1,D,99,A,A,X,,4,CPT
28,90799,Canalizacion de Via Central,,,,1,D,99,A,A,X,,4,CPT
29,91105,"Intubacion gastrica, lavado o aspiracion terapeutica",,,,1,D,99,A,A,X,,4,CPT
30,93000,Electrocardiograma,,,,1,D,99,A,A,X,,4,CPT
31,94664,Nebulizacion,,,,1,D,99,A,A,X,,4,CPT
32,96100,Consulta Psicologica (UPA),,,,1,D,99,A,A,X,,4,CPT
33,99058,Evolucion de Emergencia,,,,1,D,99,A,A,X,,4,CPT
34,99202,Consulta,,,,1,D,99,A,I,X,,4,CPT
35,99285,"Atencion de Emergencia, Prioridad IV",,,,1,D,99,A,A,X,,4,CPT
36,31622,Broncoscopia,,,,1,D,99,A,A,X,,4,CPT
37,44388,"Colonoscopia a Traves del Estoma; Diagnostica, con o sin Recoleccion de Especimenes Mediantecepillado o Lavado (Procedimiento Separado)",,,,1,D,99,A,I,X,,4,CPT
38,45300,Proctosigmoidoscopia,,,,1,D,99,A,A,X,,4,CPT
39,45355,"Colonoscopia, Rigida o Flexible, Transabdominal Via Colotomia, Una o Varias",,,,1,D,99,A,I,X,,4,CPT
40,45378,"Colonoscopia diagnostica, flexible",,,,1,D,99,A,A,X,,4,CPT
41,57510,Cauterizacion del Cervix; Electro o Termica,,,F,10,A,99,A,A,X,,4,CPT
42,67800,Excision de Chalazion; uno solo,,,,1,D,99,A,A,X,,4,CPT
43,76536,Ultrasonido de tejidos blandos de cabeza y cuello,,,,1,D,99,A,A,X,,4,CPT
